MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
240,42,75,.560,11,28,.393,19,23,.826,3,33,36,33,10,5,13,20,114,,240,.670,.633,.373,.307,10.0,86.8,52.9,78.6,10.7,9.4,13.2,100.0,122.5,110.6,
240,43,85,.506,8,23,.348,28,37,.757,8,32,40,22,5,5,11,21,122,,240,.602,.553,.271,.435,20.5,80.0,50.6,51.2,4.9,7.4,9.8,100.0,119.5,118.5,
240,48,88,.545,6,20,.300,19,23,.826,8,31,39,32,7,1,14,26,121,,240,.617,.580,.227,.261,20.0,79.5,49.4,66.7,6.9,1.6,12.5,100.0,118.5,119.5,
240,34,80,.425,7,21,.333,12,18,.667,14,32,46,19,10,5,23,28,87,,240,.495,.469,.263,.225,29.2,71.1,49.5,55.9,10.3,11.4,20.7,100.0,89.5,90.5,
240,29,78,.372,7,34,.206,23,37,.622,13,34,47,16,17,11,21,25,88,,240,.467,.417,.436,.474,28.9,70.8,50.5,55.2,17.5,18.6,18.2,100.0,90.5,89.5,
240,43,87,.494,8,23,.348,14,25,.560,13,33,46,20,8,5,8,25,108,,240,.551,.540,.264,.287,29.5,75.0,52.3,46.5,8.7,8.1,7.5,100.0,117.7,94.8,
240,34,84,.405,8,22,.364,11,22,.500,11,31,42,17,2,7,13,19,87,,240,.464,.452,.262,.262,25.0,70.5,47.7,50.0,2.2,10.9,12.2,100.0,94.8,117.7,
240,33,80,.413,10,23,.435,17,20,.850,7,37,44,28,9,2,10,23,93,,240,.524,.475,.288,.250,16.7,77.1,48.9,84.8,10.1,3.2,10.1,100.0,104.2,89.6,
240,28,75,.373,2,12,.167,22,31,.710,11,35,46,17,6,5,13,13,80,,240,.451,.387,.160,.413,22.9,83.3,51.1,60.7,6.7,8.8,12.8,100.0,89.6,104.2,
240,29,72,.403,3,14,.214,30,41,.732,11,26,37,13,5,3,22,17,91,,240,.505,.424,.194,.569,26.2,89.7,52.1,44.8,5.0,4.7,19.6,100.0,91.6,139.9,
240,56,84,.667,15,20,.750,12,16,.750,3,31,34,31,13,3,13,30,139,,240,.763,.756,.238,.190,10.3,73.8,47.9,55.4,13.1,5.2,12.5,100.0,139.9,91.6,
240,36,70,.514,10,22,.455,20,25,.800,11,28,39,25,6,8,18,20,102,,240,.630,.586,.314,.357,31.4,80.0,55.7,69.4,6.8,10.8,18.2,100.0,116.3,114.0,
240,39,82,.476,5,8,.625,17,20,.850,7,24,31,15,12,1,8,26,100,,240,.551,.506,.098,.244,20.0,68.6,44.3,38.5,13.7,2.1,8.1,100.0,114.0,116.3,
265,38,89,.427,11,31,.355,9,15,.600,14,41,55,18,8,5,16,17,96,,265,.502,.489,.348,.169,30.4,80.4,56.7,47.4,8.2,8.3,14.3,100.0,98.7,91.5,
265,38,96,.396,12,36,.333,1,6,.167,10,32,42,23,9,7,14,23,89,,265,.451,.458,.375,.063,19.6,69.6,43.3,60.5,9.2,12.1,12.4,100.0,91.5,98.7,
240,36,80,.450,2,19,.105,11,14,.786,5,33,38,19,8,4,16,25,85,,240,.493,.463,.238,.175,12.5,76.7,45.8,52.8,8.4,7.1,15.7,100.0,89.3,106.1,
240,35,80,.438,10,24,.417,21,27,.778,10,35,45,22,7,3,15,15,101,,240,.550,.500,.300,.338,23.3,87.5,54.2,62.9,7.4,4.9,14.0,100.0,106.1,89.3,
240,39,91,.429,7,16,.438,18,19,.947,14,32,46,21,5,3,7,15,103,,240,.518,.467,.176,.209,29.2,74.4,50.5,53.8,5.6,5.3,6.6,100.0,115.4,106.4,
240,37,86,.430,8,29,.276,13,14,.929,11,34,45,16,3,6,11,23,95,,240,.515,.477,.337,.163,25.6,70.8,49.5,43.2,3.4,8.0,10.7,100.0,106.4,115.4,
240,37,77,.481,7,18,.389,18,25,.720,10,36,46,18,5,6,14,22,99,,240,.563,.526,.234,.325,29.4,78.3,57.5,48.6,5.5,9.1,13.7,100.0,108.5,98.7,
240,35,83,.422,4,17,.235,16,23,.696,10,24,34,18,6,7,13,19,90,,240,.483,.446,.205,.277,21.7,70.6,42.5,51.4,6.6,11.9,12.3,100.0,98.7,108.5,
240,40,90,.444,3,22,.136,11,13,.846,11,26,37,26,6,8,18,12,94,,240,.491,.461,.244,.144,23.9,68.4,44.0,65.0,6.2,13.6,15.8,100.0,96.5,130.4,
240,49,90,.544,19,31,.613,10,13,.769,12,35,47,39,12,2,13,14,127,,240,.663,.650,.344,.144,31.6,76.1,56.0,79.6,12.3,2.9,12.0,100.0,130.4,96.5,
240,43,86,.500,7,17,.412,24,29,.828,12,29,41,24,2,2,17,30,117,,240,.592,.541,.198,.337,30.0,70.7,50.6,55.8,2.0,2.9,14.7,100.0,118.3,132.4,
240,52,94,.553,8,26,.308,19,23,.826,12,28,40,31,5,10,7,24,131,,240,.629,.596,.277,.245,29.3,70.0,49.4,59.6,5.1,14.5,6.3,100.0,132.4,118.3,
240,32,84,.381,7,17,.412,16,28,.571,10,31,41,14,5,2,12,13,87,,240,.452,.423,.202,.333,20.0,73.8,44.6,43.8,5.2,3.3,11.1,100.0,91.1,117.3,
240,45,87,.517,11,26,.423,11,14,.786,11,40,51,30,7,3,14,25,112,,240,.601,.580,.299,.161,26.2,80.0,55.4,66.7,7.3,4.5,13.1,100.0,117.3,91.1,
240,38,99,.384,11,30,.367,20,23,.870,16,27,43,26,9,3,10,30,107,,240,.490,.439,.303,.232,27.1,87.1,47.8,68.4,8.9,7.7,8.4,100.0,106.3,119.2,
240,36,68,.529,14,29,.483,34,43,.791,4,43,47,24,5,12,20,26,120,,240,.690,.632,.426,.632,12.9,72.9,52.2,66.7,5.0,17.4,18.7,100.0,119.2,106.3,
240,34,82,.415,10,26,.385,10,17,.588,9,34,43,15,4,6,9,22,88,,240,.492,.476,.317,.207,20.5,65.4,44.8,44.1,4.6,8.5,9.1,100.0,100.9,108.9,
240,32,86,.372,4,15,.267,27,33,.818,18,35,53,18,5,4,8,18,95,,240,.473,.395,.174,.384,34.6,79.5,55.2,56.3,5.7,7.1,7.4,100.0,108.9,100.9,
240,35,89,.393,1,19,.053,16,17,.941,12,31,43,15,7,2,9,24,87,,240,.451,.399,.213,.191,26.1,70.5,47.8,42.9,7.9,3.8,8.5,100.0,97.6,108.8,
240,33,78,.423,11,26,.423,20,27,.741,13,34,47,26,6,3,14,16,97,,240,.540,.494,.333,.346,29.5,73.9,52.2,78.8,6.7,4.3,13.5,100.0,108.8,97.6,
240,34,80,.425,7,24,.292,16,18,.889,7,31,38,24,6,8,14,25,91,,240,.518,.469,.300,.225,17.1,79.5,47.5,70.6,6.4,10.8,13.7,100.0,97.5,100.7,
240,37,86,.430,0,12,.000,20,24,.833,8,34,42,19,5,6,9,18,94,,240,.487,.430,.140,.279,20.5,82.9,52.5,51.4,5.4,10.7,8.5,100.0,100.7,97.5,
240,33,75,.440,5,16,.313,22,30,.733,10,28,38,22,5,3,11,21,93,,240,.527,.473,.213,.400,25.6,68.3,47.5,66.7,5.8,4.8,11.1,100.0,107.0,127.8,
240,43,84,.512,8,21,.381,17,23,.739,13,29,42,15,6,5,8,19,111,,240,.590,.560,.250,.274,31.7,74.4,52.5,34.9,6.9,8.5,7.8,100.0,127.8,107.0,
240,37,78,.474,7,17,.412,12,18,.667,9,31,40,14,5,2,15,21,93,,240,.541,.519,.218,.231,22.5,77.5,50.0,37.8,5.5,2.7,14.9,100.0,102.4,107.9,
240,42,84,.500,3,10,.300,11,16,.688,9,31,40,31,5,8,11,16,98,,240,.538,.518,.119,.190,22.5,77.5,50.0,73.8,5.5,13.1,10.8,100.0,107.9,102.4,
240,46,86,.535,14,28,.500,30,34,.882,11,40,51,32,4,5,16,26,136,,240,.674,.616,.326,.395,28.2,66.7,51.5,69.6,3.9,6.0,13.7,100.0,132.5,112.0,
240,39,99,.394,3,16,.188,34,43,.791,20,28,48,17,9,4,7,27,115,,240,.488,.409,.162,.434,33.3,71.8,48.5,43.6,8.8,6.9,5.6,100.0,112.0,132.5,
240,35,74,.473,5,18,.278,16,26,.615,5,35,40,16,11,1,16,24,91,,240,.533,.507,.243,.351,12.8,85.4,50.0,45.7,11.8,2.1,15.8,100.0,97.3,89.8,
240,30,73,.411,11,25,.440,13,22,.591,6,34,40,19,10,6,17,20,84,,240,.508,.486,.342,.301,14.6,87.2,50.0,63.3,10.7,10.7,17.1,100.0,89.8,97.3,
240,32,82,.390,13,34,.382,16,26,.615,10,29,39,20,9,0,17,21,93,,240,.498,.470,.415,.317,22.2,78.4,47.6,62.5,9.4,0.0,15.4,100.0,97.3,114.0,
240,41,76,.539,6,14,.429,21,27,.778,8,35,43,16,9,3,15,22,109,,240,.620,.579,.184,.355,21.6,77.8,52.4,39.0,9.4,6.3,14.6,100.0,114.0,97.3,
240,23,80,.288,7,35,.200,16,30,.533,22,32,54,11,5,6,14,23,69,,240,.370,.331,.438,.375,39.3,74.4,54.5,47.8,6.1,12.2,13.1,100.0,84.6,79.7,
240,20,68,.294,3,19,.158,22,28,.786,11,34,45,14,6,15,15,30,65,,240,.405,.316,.279,.412,25.6,60.7,45.5,70.0,7.4,33.3,15.7,100.0,79.7,84.6,
